id_experiment,id_control
110070,110200
110505,110003
140005,141900
142350,141095
150160,150001
160013,160002
160500,160350
160610,160590
160810,160650
210170,211185
210250,211775
210335,212040
211200,212905
211540,214195
211700,212270
211740,211770
212130,213870
212140,214520
212206,213930
212990,213140
213720,213180
213830,210007
214053,213820
214616,210870
214765,211810
215180,211630
220105,220730
220395,220125
220585,220400
220650,220247
220890,221140
220990,221017
221110,220560
221210,220420
221260,221528
221480,220001
230023,233220
230026,230039
230200,233240
230330,233290
230340,230040
230440,230480
230460,230130
230660,230705
230760,231634
231040,233500
231130,230060
231160,230979
231270,232650
231375,231345
231405,230500
231470,231335
231710,233090
232030,233120
232180,231070
232390,230016
232510,232300
232770,233280
233000,232980
233170,232810
233200,230720
233370,233380
233442,231965
233450,230370
310140,310007
320350,320220
320370,320003
320420,320640
320480,320540
320569,320785
320670,320655
320690,320880
330210,330100
340010,341075
340045,340315
340120,340145
340220,340040
340230,341165
340280,340195
340340,340040
340390,340195
340400,340005
340454,340005
340460,340005
340500,341165
340670,341075
340710,340040
340800,340021
341153,340145
341210,340005
341230,340385
350006,350830
350070,350555
350400,350035
350415,350100
350450,350710
350485,350820
350600,350642
360005,361330
360360,360019
360385,361255
360822,361120
360870,361180
360920,360895
360931,360730
360945,360470
361210,360355
361250,361395
361265,361525
361340,361635
361350,361055
361410,360348
361540,360805
370013,370230
370030,370009
370081,370665
370110,370378
370290,370444
370540,370018
380022,380360
380030,380037
380400,380680
380435,380385
380463,380426
380555,380254
380860,381124
389100,381115
390004,390930
390010,390002
390044,391030
390047,390097
390049,390050
390060,399090
390086,390993
390105,390215
390118,390510
390135,390674
390161,390305
390205,390124
390238,390079
390268,390792
390450,393411
390486,391108
390488,390842
390560,390622
390666,399145
390727,390705
390851,390170
390870,391120
390895,390411
391103,390640
391119,390292
391130,391000
391140,390308
399190,390155
399235,390093
410013,410655
410140,419015
411245,411260
411405,411290
411670,410080
411700,411280
411930,411710
412000,419020
412050,410805
412160,410020
412250,411585
412290,411870
412395,410470
419060,411510
419115,412020
420021,420525
420026,420495
420030,420640
420031,420960
420033,420775
420050,421190
420130,420270
420260,420200
420505,421260
420565,420910
420760,420085
421040,421290
421390,420320
430245,430001
430835,432025
430841,430600
431050,431285
431070,431060
431090,431613
431740,431370
432060,432127
432080,431180
432200,430930
432936,430700
433170,430780
440027,440405
440040,441750
440190,441500
440331,440240
440555,441011
440630,440023
441080,440292
441260,442198
441830,440013
441847,441720
441850,441320
441880,441360
442148,442160
442200,441795
442485,441290
442560,442410
450970,450450
452085,451145
452305,450390
510042,510610
510120,510240
510184,510040
510400,510680
510740,519001
510900,510935
510970,510715
520004,520294
520008,520212
520010,521111
520017,520665
520254,521210
520297,521010
520350,521222
520410,520029
520415,520271
520580,520018
520647,520035
520668,520214
520675,521180
520895,520215
520935,520681
521072,521223
521158,520270
521167,520365
521195,521095
521207,520649
529160,520885
530090,530002
530116,530401
530142,530640
530180,530760
530290,530540
530313,530345
530333,530910
530417,530580
530455,530308
530516,530480
530518,538099
530521,530080
530755,530505
530772,531017
530810,530780
530920,530430
531027,530425
534001,530323
540003,540110
540019,540390
540020,540420
540120,549165
540161,540206
540575,540001
549001,540470
610120,610044
610410,610840
610440,611300
611840,610500
620995,621020
630019,631300
630035,630063
630040,631010
630065,630047
630151,630018
630240,630985
630247,630845
630330,630995
630335,630930
630435,631320
630460,630008
630535,630125
630600,639180
630910,630575
631445,630685
640003,640004
640180,640040
650438,650030
670020,670550
670580,670034
670775,670407
670783,671025
710047,710130
710145,710563
710198,719130
710220,710440
710240,710083
710566,719045
710585,710470
720021,720877
720235,720394
720252,720355
720255,720353
720365,720879
720414,720893
720420,720285
720770,720670
720860,720200
720885,720011
720891,720290
730010,730360
730029,730020
730075,730155
730104,730385
730240,730980
730355,739105
730380,730051
730485,730574
730640,730074
730960,730630
731180,731215
740040,740331
740091,743625
740209,740310
740263,743557
740402,743360
740425,742915
740460,742372
740465,741139
740490,742567
740795,743345
741060,740129
741135,740280
741175,740196
741390,740020
741455,742660
741630,743330
741810,740111
742059,743723
742096,740268
742230,740108
742318,741169
742335,742561
742390,741525
742430,742573
742528,740367
742531,742912
742533,740560
742539,741310
742695,743410
742720,740224
742770,740243
742911,742095
742980,742045
743005,740950
743070,742582
743230,743189
743630,741969
743650,741240
743715,741511
820200,820111
820240,820111
820380,820111
830170,830150
840012,840190
840021,840850
840030,840755
840360,840430
840400,840290
840590,840010
840805,840040
850016,850007
850035,850037
850060,850220
850065,850425
850115,850460
850260,850235
850290,850430
850390,850012
859030,850235
860153,860320
860257,860253
860315,860054
860378,860595
860430,860042
860460,860255
860480,860516
860502,860379
864010,860376
880040,880031
880110,880032
889060,880039
910500,911260
910669,910520
910680,910060
910807,910013
910867,910040
910880,910115
911115,910605
911130,910780
911240,910005
920340,920005
920350,920770
920612,920743
930034,932412
930040,931860
930045,932010
930059,930440
930085,932343
930090,933240
930093,930060
930123,933470
930651,933290
930833,930095
931002,930835
931175,930030
931180,930648
931910,931510
932000,931880
932025,932875
932030,931178
932080,930190
932850,932890
933040,931140
933162,932116
933270,930860
933485,930330
933516,930555
933564,933401
933670,933853
933890,932745
950190,950360
950405,950050
